,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4176,CGH AUGUSTO PESTANA BARRAMENTO,75199000,7,75,01318 - ARROIO BONITO - Arroio Bonito Geração e Comércio de Energia E...,01318 - ARROIO BONITO - Arroio Bonito Geração e Comércio de Energia E...,AUGUSTO PESTANA-RS,-28.48640,-53.95030,0.00,75102000,RIO CONCEIÇÃO,Setor Elétrico,Ativo
4177,CGH AUGUSTO PESTANA JUSANTE,75199050,7,75,01318 - ARROIO BONITO - Arroio Bonito Geração e Comércio de Energia E...,01318 - ARROIO BONITO - Arroio Bonito Geração e Comércio de Energia E...,AUGUSTO PESTANA-RS,-28.48640,-53.95140,0.00,75102000,RIO CONCEIÇÃO,Setor Elétrico,Ativo
4178,PROP. PONTE RIO CONCEIÇÃO,75205010,7,75,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,CORONEL BARROS-RS,-28.38390,-54.03250,0.00,75102000,RIO CONCEIÇÃO,RHN,Ativo
4179,SANTO ANGELO,75230000,7,75,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ENTRE-IJUIS-RS,-28.35530,-54.26750,189.00,75101000,RIO IJUÍ,RHN,Ativo
4180,SANTO ANGELO,75230000,7,75,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ENTRE-IJUIS-RS,-28.35530,-54.26750,189.00,75101000,RIO IJUÍ,CotaOnline,Ativo
4181,ASSOC. ESPORTIVA ENTRE-IJUÍS,75230010,7,75,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,SANTO ANGELO-RS,-28.35530,-54.26830,0.00,75101000,RIO IJUÍ,RHN,Ativo
4182,CGH IGREJINHA BARRAMENTO,75269900,7,75,01186 - CADEADO - Boa Vista do Cadeado Energia Ltda.,01186 - CADEADO - Boa Vista do Cadeado Energia Ltda.,BOA VISTA DO CADEADO-RS,-28.79530,-53.97140,0.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4183,CGH IJUIZINHO PONTE QUEIMADA,75270000,7,75,00007 - CEEE - CEEE,00007 - CEEE - CEEE,JÓIA-RS,-28.77780,-53.98170,365.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4184,CGH IGREJINHA JUSANTE,75280100,7,75,01186 - CADEADO - Boa Vista do Cadeado Energia Ltda.,01186 - CADEADO - Boa Vista do Cadeado Energia Ltda.,BOA VISTA DO CADEADO-RS,-28.77970,-53.96280,0.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4185,CGH IJUIZINHO MONTANTE,75287000,7,75,00007 - CEEE - CEEE,00007 - CEEE - CEEE,EUGÊNIO DE CASTRO-RS,-28.54330,-54.15530,0.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4186,CGH IJUIZINHO BARRAMENTO,75288000,7,75,00007 - CEEE - CEEE,00007 - CEEE - CEEE,ENTRE-IJUIS-RS,-28.44170,-54.28860,234.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
4187,CGH IJUIZINHO JUSANTE,75288100,7,75,00007 - CEEE - CEEE,00007 - CEEE - CEEE,ENTRE-IJUIS-RS,-28.43560,-54.28890,250.00,75103000,RIO IJUIZINHO,Setor Elétrico,Ativo
